id,longitude,latitude,timestamp,subtotal
1,-78.8671866447861,42.01246326237433,2025-11-04 10:17:04.915257248,120.0
2,-76.2653141983343,42.47899580935274,2025-11-04 22:20:08.135761513,120.0
3,-73.8825612264399,40.834113404202824,2025-11-05 09:02:14.699513608,25.0
4,-73.43870366161902,44.71699277095472,2025-11-05 22:32:56.886229408,120.0
5,-73.91808726141821,40.6715166199655,2025-11-06 11:14:54.189824343,50.0
6,-73.7879348613946,40.64889516395453,2025-11-06 15:19:47.970997872,25.0
7,-73.8255711712655,40.85309884497225,2025-11-07 14:11:08.334241884,45.0
8,-73.87556634583822,40.82069590326902,2025-11-07 23:41:24.107196676,50.0
9,-73.76706484286136,40.72223398002971,2025-11-08 01:38:48.792179167,50.0
10,-73.82866188496253,40.69570549321833,2025-11-08 16:12:54.764607173,120.0
11,-73.9974074623363,41.49859056585774,2025-11-08 21:55:24.865118342,50.0
12,-73.82449274531882,40.771317122939365,2025-11-08 23:53:34.810841054,50.0
13,-73.88306635075915,40.944601561078564,2025-11-09 03:38:22.031799503,45.0
14,-73.91014003946918,40.84472311494027,2025-11-09 07:47:26.276724014,120.0
15,-74.1264930422675,41.2568508464599,2025-11-09 23:40:54.724580990,50.0
16,-73.90962213647326,40.64186218803688,2025-11-10 00:03:24.799041401,50.0
17,-73.96912637851912,40.78835318746788,2025-11-10 06:37:43.664466330,25.0
18,-73.79666815163614,40.751873654523166,2025-11-11 01:24:52.180064822,25.0
19,-73.95312581623382,40.68439498894632,2025-11-11 08:19:35.106856471,120.0
20,-73.90889516554168,40.665307647276386,2025-11-11 18:15:47.013619684,50.0
21,-73.91910843778155,40.6671997058511,2025-11-11 18:33:45.288054025,120.0
22,-73.86302947950956,40.8456164281414,2025-11-11 19:40:43.579696205,45.0
23,-73.9762524795146,40.76493839633712,2025-11-11 21:23:47.151624461,120.0
24,-73.78845233822688,40.738034626365334,2025-11-11 22:52:30.462098985,50.0
25,-78.18751358505837,42.37118330870915,2025-11-12 00:56:13.802692401,50.0
26,-73.98322428261152,40.77943719621347,2025-11-12 02:57:20.386158487,50.0
27,-73.85374680584587,40.84410830783393,2025-11-12 03:08:10.475138764,50.0
28,-73.93396858128467,40.669076488406674,2025-11-12 07:46:12.616764582,25.0
29,-74.48847224337538,44.16413975454427,2025-11-12 08:43:09.380905595,108.0
30,-73.96730648527041,40.645285954498945,2025-11-12 08:48:53.583557754,120.0
31,-73.93007771482787,40.65660309062613,2025-11-12 08:53:46.652508208,120.0
32,-73.81400978694063,40.7019356830983,2025-11-12 11:21:42.068779146,120.0
33,-73.92827611592283,40.716327977747056,2025-11-12 16:28:19.202897974,50.0
34,-73.76649743693977,40.75038879099788,2025-11-12 18:36:19.178897010,50.0
35,-73.85717408588744,40.83972429068253,2025-11-12 21:42:39.034006268,50.0
36,-73.93019254141099,40.69541796034031,2025-11-12 23:27:20.370492267,25.0
37,-73.78317952874933,40.74941926365627,2025-11-13 00:42:08.383277461,50.0
38,-73.82805152478643,40.71455424288621,2025-11-13 02:18:09.907873794,50.0
39,-73.83589368761396,40.833283976278345,2025-11-13 05:09:18.839718346,50.0
40,-73.96207433324923,40.682437064420824,2025-11-13 05:13:26.005516990,120.0
41,-73.75801290786961,40.72662135474581,2025-11-13 11:30:29.095856315,120.0
42,-73.86080521747645,40.81916033886501,2025-11-13 17:10:49.618606595,25.0
43,-73.8836606531028,40.85069466771917,2025-11-13 20:42:38.247286539,25.0
44,-75.25769060675633,43.227927763151904,2025-11-13 20:48:23.803168837,25.0
45,-73.7934884115653,40.72559287710514,2025-11-13 21:31:02.343326098,50.0
46,-73.94932368607432,40.65051228488578,2025-11-14 01:28:43.575717393,50.0
47,-73.85763817907186,40.86246687784007,2025-11-14 05:08:49.087925819,120.0
48,-73.94124903662463,40.793458359774114,2025-11-14 09:22:06.355767473,50.0
49,-73.76865269819173,40.71770585107158,2025-11-14 10:31:20.528839319,50.0
50,-77.0755862132254,43.107337870355074,2025-11-14 12:13:30.037195060,50.0
51,-73.95996165609198,40.79456162335526,2025-11-14 13:39:29.997470388,120.0
